dataset,source_type,location_id,stock,region,species_id,species,year,file_path,raw_url,annual_count
adfg-commercial,escapement_monitoring,1001,George River,NA,450,Chum,2012,1001/450/2012-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2012-eagle-sonar-yukon-canadian-border-chum.json,153248
adfg-commercial,escapement_monitoring,1001,George River,NA,450,Chum,2013,1001/450/2013-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2013-eagle-sonar-yukon-canadian-border-chum.json,216794
adfg-commercial,escapement_monitoring,1001,George River,NA,450,Chum,2014,1001/450/2014-george-river-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2014-george-river-chum.json,17183
adfg-commercial,escapement_monitoring,1001,George River,NA,450,Chum,2015,1001/450/2015-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2015-eagle-sonar-yukon-canadian-border-chum.json,125095
adfg-commercial,escapement_monitoring,1001,George River,NA,450,Chum,2016,1001/450/2016-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2016-eagle-sonar-yukon-canadian-border-chum.json,161027
adfg-commercial,escapement_monitoring,1001,George River,NA,450,Chum,2017,1001/450/2017-george-river-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2017-george-river-chum.json,39971
adfg-commercial,escapement_monitoring,1001,George River,NA,450,Chum,2018,1001/450/2018-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2018-eagle-sonar-yukon-canadian-border-chum.json,168800
adfg-commercial,escapement_monitoring,1001,George River,NA,450,Chum,2019,1001/450/2019-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2019-eagle-sonar-yukon-canadian-border-chum.json,113256
adfg-commercial,escapement_monitoring,1001,George River,NA,450,Chum,2020,1001/450/2020-george-river-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2020-george-river-chum.json,8943
adfg-commercial,escapement_monitoring,1001,George River,NA,450,Chum,2021,1001/450/2021-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2021-eagle-sonar-yukon-canadian-border-chum.json,23170
adfg-commercial,escapement_monitoring,1001,George River,NA,450,Chum,2022,1001/450/2022-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2022-eagle-sonar-yukon-canadian-border-chum.json,22075
adfg-commercial,escapement_monitoring,1001,George River,NA,450,Chum,2023,1001/450/2023-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2023-eagle-sonar-yukon-canadian-border-chum.json,22179
adfg-commercial,escapement_monitoring,1001,George River,NA,450,Chum,2024,1001/450/2024-eagle-sonar-yukon-canadian-border-chum.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/450/2024-eagle-sonar-yukon-canadian-border-chum.json,16204
