dataset,source_type,location_id,stock,region,species_id,species,year,file_path,raw_url
adfg-commercial,escapement_monitoring,1001,George River,,410,Chinook,2008,1001/410/2008-eagle-sonar-yukon-canadian-border-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/410/2008-eagle-sonar-yukon-canadian-border-chinook.json
adfg-commercial,escapement_monitoring,1001,George River,,410,Chinook,2009,1001/410/2009-george-river-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/410/2009-george-river-chinook.json
adfg-commercial,escapement_monitoring,1001,George River,,410,Chinook,2010,1001/410/2010-george-river-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/410/2010-george-river-chinook.json
adfg-commercial,escapement_monitoring,1001,George River,,410,Chinook,2011,1001/410/2011-george-river-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/410/2011-george-river-chinook.json
adfg-commercial,escapement_monitoring,1001,George River,,410,Chinook,2012,1001/410/2012-george-river-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/410/2012-george-river-chinook.json
adfg-commercial,escapement_monitoring,1001,George River,,410,Chinook,2013,1001/410/2013-eagle-sonar-yukon-canadian-border-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/410/2013-eagle-sonar-yukon-canadian-border-chinook.json
adfg-commercial,escapement_monitoring,1001,George River,,410,Chinook,2014,1001/410/2014-george-river-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/410/2014-george-river-chinook.json
adfg-commercial,escapement_monitoring,1001,George River,,410,Chinook,2015,1001/410/2015-eagle-sonar-yukon-canadian-border-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/410/2015-eagle-sonar-yukon-canadian-border-chinook.json
adfg-commercial,escapement_monitoring,1001,George River,,410,Chinook,2016,1001/410/2016-eagle-sonar-yukon-canadian-border-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/410/2016-eagle-sonar-yukon-canadian-border-chinook.json
adfg-commercial,escapement_monitoring,1001,George River,,410,Chinook,2017,1001/410/2017-george-river-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/410/2017-george-river-chinook.json
