Year,NMFS Name,Pounds,Metric Tons,Dollars,Deflated Dollars,Confidentiality,Collection
1954,"TROUT, RAINBOW",36904.00,17.00,5535.00,49865.00,Public,Commercial
1954,"VARDEN, DOLLY",1965.00,1.00,235.00,2117.00,Public,Commercial
1955,"BUTTERCLAM, WASHINGTON",158558.00,72.00,13509.00,119549.00,Public,Commercial
1955,"CLAM, PACIFIC RAZOR",1969226.00,893.00,255999.00,2265478.00,Public,Commercial
1955,"COD, PACIFIC",119001.00,54.00,2082.00,18425.00,Public,Commercial
1955,"CRAB, DUNGENESS",4384043.00,1989.00,374567.00,3314752.00,Public,Commercial
1955,"CRAB, KING **",8162920.00,3703.00,808654.00,7156230.00,Public,Commercial
1955,"CRAB, SNOW/TANNER **",672.00,0.00,61.00,540.00,Public,Commercial
1955,FLATFISHES **,80271.00,36.00,6823.00,60381.00,Public,Commercial
1955,"HALIBUT, PACIFIC",26504787.00,12022.00,2371623.00,20987814.00,Public,Commercial
1955,"HERRING, PACIFIC",64216435.00,29128.00,793752.00,7024354.00,Public,Commercial
1955,LINGCOD,10399.00,5.00,364.00,3221.00,Public,Commercial
1955,ROCKFISHES **,7405.00,3.00,227.00,2009.00,Public,Commercial
1955,SABLEFISH,4171759.00,1892.00,282089.00,2496363.00,Public,Commercial
1955,"SALMON, CHINOOK",11641440.00,5281.00,2308260.00,20427080.00,Public,Commercial
1955,"SALMON, CHUM",28003960.00,12703.00,1886555.00,16695177.00,Public,Commercial
1955,"SALMON, COHO",16505325.00,7487.00,2260418.00,20003699.00,Public,Commercial
1955,"SALMON, PINK",96496256.00,43770.00,8568186.00,75824655.00,Public,Commercial
1955,"SALMON, SOCKEYE",51028002.00,23146.00,6591505.00,58331903.00,Public,Commercial
1955,"SHRIMPS, PENAEID **",1828127.00,829.00,237657.00,2103159.00,Public,Commercial
1955,"TROUT, RAINBOW",19512.00,9.00,3317.00,29354.00,Public,Commercial
1955,"VARDEN, DOLLY",14800.00,7.00,1924.00,17027.00,Public,Commercial
1956,"CLAM, PACIFIC RAZOR",610123.00,277.00,188847.00,1614077.00,Public,Commercial
1956,"COCKLE, NUTTALL",20420.00,9.00,6534.00,55846.00,Public,Commercial
1956,"COD, PACIFIC",6170.00,3.00,108.00,923.00,Public,Commercial
1956,"CRAB, DUNGENESS",2446122.00,1110.00,211844.00,1810632.00,Public,Commercial
1956,"CRAB, KING **",8796022.00,3990.00,864065.00,7385171.00,Public,Commercial
1956,FLATFISHES **,3561.00,2.00,71.00,607.00,Public,Commercial
1956,"HALIBUT, PACIFIC",33075770.00,15003.00,4803627.00,41056641.00,Public,Commercial
1956,"HERRING, PACIFIC",107458310.00,48743.00,1325760.00,11331282.00,Public,Commercial
1956,LINGCOD,12449.00,6.00,436.00,3726.00,Public,Commercial
1956,"OYSTER, PACIFIC",530.00,0.00,326.00,2786.00,Public,Commercial
1956,ROCKFISHES **,3875.00,2.00,119.00,1017.00,Public,Commercial
1956,SABLEFISH,2750200.00,1247.00,185913.00,1589000.00,Public,Commercial
1956,"SALMON, CHINOOK",9160640.00,4155.00,1849268.00,15805709.00,Public,Commercial
1956,"SALMON, CHUM",57609000.00,26131.00,3834342.00,32772154.00,Public,Commercial
1956,"SALMON, COHO",13346217.00,6054.00,1769561.00,15124453.00,Public,Commercial
1956,"SALMON, PINK",102151200.00,46335.00,9255678.00,79108359.00,Public,Commercial
1956,"SALMON, SOCKEYE",87630468.00,39749.00,13043407.00,111482111.00,Public,Commercial
1956,"SHRIMPS, PENAEID **",3043598.00,1381.00,395668.00,3381778.00,Public,Commercial
1956,"TROUT, RAINBOW",19111.00,9.00,3248.00,27761.00,Public,Commercial
1956,"VARDEN, DOLLY",1995.00,1.00,225.00,1923.00,Public,Commercial
1957,"CLAM, PACIFIC RAZOR",651674.00,296.00,201709.00,1667017.00,Public,Commercial
1957,"COCKLE, NUTTALL",160.00,0.00,45.00,372.00,Public,Commercial
1957,"COD, PACIFIC",2583.00,1.00,77.00,636.00,Public,Commercial
1957,"CRAB, DUNGENESS",551841.00,250.00,27592.00,228033.00,Public,Commercial
1957,"CRAB, KING **",12488131.00,5665.00,999050.00,8256612.00,Public,Commercial
1957,"HALIBUT, PACIFIC",27699910.00,12565.00,3175414.00,26243091.00,Public,Commercial
1957,"HERRING, PACIFIC",118290240.00,53656.00,1478628.00,12220066.00,Public,Commercial
1957,LINGCOD,15443.00,7.00,772.00,6380.00,Public,Commercial
1957,ROCKFISHES **,21892.00,10.00,667.00,5512.00,Public,Commercial
1957,SABLEFISH,4966270.00,2253.00,274765.00,2270785.00,Public,Commercial
1957,"SALMON, CHINOOK",10275020.00,4661.00,2202439.00,18201975.00,Public,Commercial
1957,"SALMON, CHUM",66228856.00,30041.00,5335635.00,44096157.00,Public,Commercial
1957,"SALMON, COHO",14449608.00,6554.00,2112032.00,17454810.00,Public,Commercial
1957,"SALMON, PINK",54083384.00,24532.00,5880748.00,48601223.00,Public,Commercial
1957,"SALMON, SOCKEYE",58400238.00,26490.00,9505364.00,78556727.00,Public,Commercial
1957,"SHRIMPS, PENAEID **",2968588.00,1347.00,356495.00,2946240.00,Public,Commercial
1957,"TROUT, RAINBOW",7538.00,3.00,1131.00,9347.00,Public,Commercial
1957,"VARDEN, DOLLY",16052.00,7.00,1636.00,13521.00,Public,Commercial
1958,"CLAM, PACIFIC RAZOR",278959.00,127.00,86344.00,701984.00,Public,Commercial
1958,"COD, PACIFIC",12330.00,6.00,370.00,3008.00,Public,Commercial
1958,"CRAB, DUNGENESS",1746999.00,792.00,131025.00,1065244.00,Public,Commercial
1958,"CRAB, KING **",11211554.00,5086.00,896924.00,7292065.00,Public,Commercial
1958,"HALIBUT, PACIFIC",26352620.00,11953.00,3771565.00,30663130.00,Public,Commercial
1958,"HERRING, PACIFIC",88801165.00,40280.00,1069024.00,8691252.00,Public,Commercial
1958,OCTOPUSES **,365.00,0.00,73.00,593.00,Public,Commercial
1958,ROCKFISHES **,3391.00,2.00,153.00,1244.00,Public,Commercial
1958,SABLEFISH,1541111.00,699.00,113606.00,923626.00,Public,Commercial
1958,"SALMON, CHINOOK",10990221.00,4985.00,3025403.00,24596772.00,Public,Commercial
1958,"SALMON, CHUM",61764033.00,28016.00,4207072.00,34203837.00,Public,Commercial
1958,"SALMON, COHO",13116144.00,5949.00,2221424.00,18060358.00,Public,Commercial
1958,"SALMON, PINK",120698143.00,54748.00,11055170.00,89879431.00,Public,Commercial
1958,"SALMON, SOCKEYE",34686502.00,15734.00,6338370.00,51531463.00,Public,Commercial
1958,"SHRIMPS, PENAEID **",7862366.00,3566.00,277901.00,2259358.00,Public,Commercial
1958,SMELTS **,700.00,0.00,90.00,732.00,Public,Commercial
1958,"TROUT, RAINBOW",12163.00,6.00,1703.00,13846.00,Public,Commercial
1958,"VARDEN, DOLLY",7549.00,3.00,540.00,4390.00,Public,Commercial
1959,"CLAM, PACIFIC RAZOR",472941.00,215.00,131054.00,1048432.00,Public,Commercial
1959,"COD, PACIFIC",7565.00,3.00,378.00,3024.00,Public,Commercial
1959,"CRAB, DUNGENESS",3999344.00,1814.00,325638.00,2605104.00,Public,Commercial
1959,"CRAB, KING **",18839470.00,8546.00,1477980.00,11823840.00,Public,Commercial
1959,FLATFISHES **,781.00,0.00,62.00,496.00,Public,Commercial
1959,"HALIBUT, PACIFIC",29974210.00,13596.00,3899108.00,31192864.00,Public,Commercial
1959,"HERRING, PACIFIC",107551770.00,48785.00,1299019.00,10392152.00,Public,Commercial
1959,LINGCOD,4186.00,2.00,120.00,960.00,Public,Commercial
1959,ROCKFISHES **,6517.00,3.00,336.00,2688.00,Public,Commercial
1959,SABLEFISH,2312379.00,1049.00,187057.00,1496456.00,Public,Commercial
1959,"SALMON, CHINOOK",11720452.00,5316.00,3002023.00,24016184.00,Public,Commercial
1959,"SALMON, CHUM",32269040.00,14637.00,2388404.00,19107232.00,Public,Commercial
1959,"SALMON, COHO",11852122.00,5376.00,2369578.00,18956624.00,Public,Commercial
1959,"SALMON, PINK",48046614.00,21794.00,4921213.00,39369704.00,Public,Commercial
1959,"SALMON, SOCKEYE",43389751.00,19681.00,8275256.00,66202048.00,Public,Commercial
1959,"SHRIMPS, PENAEID **",13052321.00,5920.00,505537.00,4044296.00,Public,Commercial
1959,SMELTS **,8400.00,4.00,420.00,3360.00,Public,Commercial
1959,"TROUT, RAINBOW",8644.00,4.00,1475.00,11800.00,Public,Commercial
1959,"VARDEN, DOLLY",6310.00,3.00,2037.00,16296.00,Public,Commercial
1960,"CLAM, PACIFIC RAZOR",533522.00,242.00,165138.00,1300299.00,Public,Commercial
1960,"COCKLE, NUTTALL",20675.00,9.00,10540.00,82992.00,Public,Commercial
1960,"CRAB, DUNGENESS",4733272.00,2147.00,378661.00,2981583.00,Public,Commercial
1960,"CRAB, KING **",28570016.00,12959.00,2286136.00,18001071.00,Public,Commercial
1960,FLATFISHES **,2675.00,1.00,214.00,1685.00,Public,Commercial
1960,"HALIBUT, PACIFIC",28403620.00,12884.00,3109851.00,24487016.00,Public,Commercial
1960,"HERRING, PACIFIC",77912765.00,35341.00,834675.00,6572244.00,Public,Commercial
1960,LINGCOD,1569.00,1.00,78.00,614.00,Public,Commercial
1960,ROCKFISHES **,4992.00,2.00,249.00,1961.00,Public,Commercial
1960,SABLEFISH,2970854.00,1348.00,291546.00,2295638.00,Public,Commercial
1960,"SALMON, CHINOOK",9112266.00,4133.00,2557869.00,20140701.00,Public,Commercial
1960,"SALMON, CHUM",47695352.00,21634.00,3900220.00,30710394.00,Public,Commercial
1960,"SALMON, COHO",9551430.00,4333.00,2189426.00,17239575.00,Public,Commercial
1960,"SALMON, PINK",52576964.00,23849.00,6815295.00,53663740.00,Public,Commercial
1960,"SALMON, SOCKEYE",88164548.00,39991.00,18092836.00,142463276.00,Public,Commercial
1960,"SHRIMPS, PENAEID **",7436207.00,3373.00,297449.00,2342118.00,Public,Commercial
1960,SMELTS **,87.00,0.00,26.00,205.00,Public,Commercial
1960,"TROUT, RAINBOW",15659.00,7.00,2662.00,20961.00,Public,Commercial
1960,"VARDEN, DOLLY",6202.00,3.00,992.00,7811.00,Public,Commercial
1961,"CLAM, PACIFIC RAZOR",389000.00,176.00,119880.00,936563.00,Public,Commercial
1961,"COCKLE, NUTTALL",1500.00,1.00,860.00,6719.00,Public,Commercial
1961,"CRAB, DUNGENESS",4591500.00,2083.00,442200.00,3454688.00,Public,Commercial
1961,"CRAB, KING **",43411600.00,19691.00,3913700.00,30575781.00,Public,Commercial
1961,"CRAB, SNOW/TANNER **",6800.00,3.00,680.00,5313.00,Public,Commercial
1961,"HALIBUT, PACIFIC",33422900.00,15161.00,4887810.00,38186016.00,Public,Commercial
1961,"HERRING, PACIFIC",49465300.00,22437.00,559020.00,4367344.00,Public,Commercial
1961,ROCKFISHES **,22100.00,10.00,1080.00,8438.00,Public,Commercial
1961,SABLEFISH,1336800.00,606.00,160410.00,1253203.00,Public,Commercial
1961,"SALMON, CHINOOK",8540600.00,3874.00,2243080.00,17524063.00,Public,Commercial
1961,"SALMON, CHUM",46120900.00,20920.00,3846220.00,30048594.00,Public,Commercial
1961,"SALMON, COHO",11385800.00,5165.00,1997400.00,15604688.00,Public,Commercial
1961,"SALMON, PINK",103537500.00,46964.00,10114800.00,79021875.00,Public,Commercial
1961,"SALMON, SOCKEYE",95229500.00,43196.00,17539210.00,137025078.00,Public,Commercial
1961,"SHRIMPS, PENAEID **",15980500.00,7249.00,639220.00,4993906.00,Public,Commercial
1961,"TROUT, RAINBOW",14000.00,6.00,2650.00,20703.00,Public,Commercial
1961,"VARDEN, DOLLY",12000.00,5.00,1440.00,11250.00,Public,Commercial
1962,"ALGAE, MARINE **",46200.00,21.00,2310.00,17769.00,Public,Commercial
1962,"CLAM, PACIFIC RAZOR",239900.00,109.00,78670.00,605154.00,Public,Commercial
1962,"COCKLE, NUTTALL",500.00,0.00,260.00,2000.00,Public,Commercial
1962,"CRAB, DUNGENESS",8989500.00,4078.00,1001450.00,7703462.00,Public,Commercial
1962,"CRAB, KING **",52782200.00,23942.00,5278210.00,40601615.00,Public,Commercial
1962,"CRAB, SNOW/TANNER **",11200.00,5.00,1120.00,8615.00,Public,Commercial
1962,"HALIBUT, PACIFIC",36791800.00,16689.00,7466520.00,57434769.00,Confidential,Commercial
1962,"HERRING, PACIFIC",33876400.00,15366.00,379320.00,2917846.00,Public,Commercial
1962,ROCKFISHES **,166200.00,75.00,8370.00,64385.00,Public,Commercial
1962,SABLEFISH,1508600.00,684.00,171920.00,1322462.00,Public,Commercial
1962,"SALMON, CHINOOK",8738600.00,3964.00,2698860.00,20760462.00,Public,Commercial
1962,"SALMON, CHUM",57652500.00,26151.00,4832170.00,37170538.00,Public,Commercial
1962,"SALMON, COHO",15231500.00,6909.00,3161960.00,24322769.00,Public,Commercial
1962,"SALMON, PINK",143278700.00,64991.00,20296300.00,156125385.00,Public,Commercial
1962,"SALMON, SOCKEYE",52946400.00,24016.00,11130170.00,85616692.00,Public,Commercial
1962,"SHRIMPS, PENAEID **",16943100.00,7685.00,731370.00,5625923.00,Public,Commercial
1962,"TROUT, RAINBOW",10000.00,5.00,1890.00,14538.00,Public,Commercial
1962,"VARDEN, DOLLY",4500.00,2.00,780.00,6000.00,Public,Commercial
1963,"ALGAE, MARINE **",199100.00,90.00,15920.00,121527.00,Public,Commercial
1963,"CLAM, PACIFIC RAZOR",144000.00,65.00,51950.00,396565.00,Public,Commercial
1963,"CRAB, DUNGENESS",12084100.00,5481.00,1357540.00,10362901.00,Public,Commercial
1963,"CRAB, KING **",78740300.00,35716.00,7607360.00,58071450.00,Public,Commercial
1963,"HALIBUT, PACIFIC",29886400.00,13556.00,4160990.00,31763282.00,Confidential,Commercial
1963,"HERRING, PACIFIC",31216200.00,14160.00,468240.00,3574351.00,Public,Commercial
1963,ROCKFISHES **,90500.00,41.00,6340.00,48397.00,Public,Commercial
1963,SABLEFISH,1359500.00,617.00,125540.00,958321.00,Public,Commercial
1963,"SALMON, CHINOOK",9160600.00,4155.00,3126640.00,23867481.00,Public,Commercial
1963,"SALMON, CHUM",35748400.00,16215.00,3046550.00,23256107.00,Public,Commercial
1963,"SALMON, COHO",17581200.00,7975.00,3008820.00,22968092.00,Public,Commercial
1963,"SALMON, PINK",125117400.00,56753.00,14472380.00,110476183.00,Public,Commercial
1963,"SALMON, SOCKEYE",35455600.00,16083.00,7643860.00,58350076.00,Public,Commercial
1963,"SHRIMPS, PENAEID **",15126900.00,6862.00,605080.00,4618931.00,Public,Commercial
1963,"TROUT, LAKE",2200.00,1.00,440.00,3359.00,Public,Commercial
1963,"TROUT, RAINBOW",19700.00,9.00,3940.00,30076.00,Public,Commercial
1963,"VARDEN, DOLLY",4800.00,2.00,960.00,7328.00,Public,Commercial
1963,"WHITEFISH, OCEAN",600.00,0.00,130.00,992.00,Public,Commercial
1964,ABALONES **,1100.00,0.00,1100.00,8271.00,Public,Commercial
1964,"ALGAE, MARINE **",398700.00,181.00,79740.00,599549.00,Public,Commercial
1964,"CLAM, PACIFIC RAZOR",41800.00,19.00,19620.00,147519.00,Public,Commercial
1964,"CRAB, DUNGENESS",12708500.00,5765.00,1465440.00,11018346.00,Public,Commercial
1964,"CRAB, KING **",86720700.00,39336.00,8186190.00,61550301.00,Public,Commercial
1964,"CRAB, SNOW/TANNER **",13900.00,6.00,1390.00,10451.00,Public,Commercial
1964,"HALIBUT, PACIFIC",22757600.00,10323.00,3572930.00,26864135.00,Confidential,Commercial
1964,"HERRING, PACIFIC",47903900.00,21729.00,718560.00,5402707.00,Public,Commercial
1964,INCONNU,600.00,0.00,120.00,902.00,Public,Commercial
1964,PIKES **,300.00,0.00,50.00,376.00,Public,Commercial
1964,ROCKFISHES **,91800.00,42.00,5110.00,38421.00,Public,Commercial
1964,SABLEFISH,2586900.00,1173.00,289440.00,2176241.00,Public,Commercial
1964,"SALMON, CHINOOK",11567000.00,5247.00,3661910.00,27533158.00,Public,Commercial
1964,"SALMON, CHUM",62689800.00,28436.00,4694570.00,35297519.00,Public,Commercial
1964,"SALMON, COHO",20953900.00,9505.00,3582060.00,26932782.00,Public,Commercial
1964,"SALMON, PINK",162280500.00,73610.00,17173960.00,129127519.00,Public,Commercial
1964,"SALMON, SOCKEYE",54132000.00,24554.00,12246640.00,92080000.00,Public,Commercial
1964,"SHRIMPS, PENAEID **",7726700.00,3505.00,309090.00,2323985.00,Public,Commercial
1964,"TROUT, LAKE",4400.00,2.00,890.00,6692.00,Public,Commercial
1964,"TROUT, RAINBOW",10100.00,5.00,2020.00,15188.00,Public,Commercial
1964,"VARDEN, DOLLY",6600.00,3.00,1310.00,9850.00,Public,Commercial
1964,"WHITEFISH, OCEAN",16800.00,8.00,3370.00,25338.00,Public,Commercial
1965,"BUTTERCLAM, WASHINGTON",1500.00,1.00,1000.00,7353.00,Public,Commercial
1965,"CLAM, PACIFIC RAZOR",87700.00,40.00,40000.00,294118.00,Public,Commercial
1965,"CRAB, DUNGENESS",8895300.00,4035.00,999910.00,7352279.00,Public,Commercial
1965,"CRAB, KING **",131670700.00,59725.00,12729360.00,93598235.00,Public,Commercial
1965,"HALIBUT, PACIFIC",30984000.00,14054.00,6770350.00,49781985.00,Confidential,Commercial
1965,"HERRING, PACIFIC",25636200.00,11629.00,360490.00,2650662.00,Public,Commercial
1965,OCTOPUSES **,20700.00,9.00,6110.00,44926.00,Public,Commercial
1965,"OYSTER, OLYMPIA",2000.00,1.00,2000.00,14706.00,Public,Commercial
1965,ROCKFISHES **,447100.00,203.00,51570.00,379191.00,Public,Commercial
1965,SABLEFISH,2310700.00,1048.00,225840.00,1660588.00,Public,Commercial
1965,"SALMON, CHINOOK",11008600.00,4993.00,3048650.00,22416544.00,Public,Commercial
1965,"SALMON, CHUM",29262500.00,13273.00,2376860.00,17476912.00,Public,Commercial
1965,"SALMON, COHO",17666000.00,8013.00,4362380.00,32076324.00,Public,Commercial
1965,"SALMON, PINK",74873000.00,33962.00,7684190.00,56501397.00,Public,Commercial
